エリア分類,エリア小分類,ゴルフコース名,緯度,経度
,,富谷パブリックコース,38.40634579,140.8991925
,,鳴子カントリークラブ,38.73142501,140.7142824
,,西仙台カントリークラブ,38.29969986,140.7841257
,,花の杜ゴルフクラブ,38.4705362,140.837547
,,東蔵王ゴルフ倶楽部,38.2053321,140.6166138
,,松島国際カントリークラブ,38.4177027,141.0151956
,,松島チサンカントリークラブ　大郷コース,38.37714175,141.0190502
,,松島チサンカントリークラブ　松島・仙台コース,38.38725435,141.0319205
,,宮城カントリークラブ,38.5483624,141.1699965
,,宮城蔵王カントリークラブ　ロイヤルコース,38.13458655,140.6102519
,,宮城野ゴルフクラブ,37.9046752,140.8889248
,,杜の公園ゴルフクラブ,38.1746577,140.6859527
,,やくらいサイズゴルフ倶楽部,38.5725037,140.6918187
,,利府ゴルフ倶楽部,38.3534582,140.9739361
,秋田,秋田北空港クラシックゴルフ倶楽部,40.14275987,140.4066341
,,秋田森岳温泉３６ゴルフ場,40.0767153,140.1155108
,,羽後カントリー倶楽部,39.3586323,140.4298179
,,大館カントリークラブ,40.21549496,140.6005289
,,大野台ゴルフクラブ,40.19757791,140.3226464
,,能代カントリークラブ,40.28186896,140.0309845
,,南秋田カントリークラブ,39.82348642,140.1117717
,,ロイヤルセンチュリーゴルフ倶楽部,39.65943835,140.3395062
,山形,朝日カントリークラブ,38.62567079,139.829461
,,大石田ゴルフクラブ,38.57342893,140.3922796
,,ゴルフパーク酒田,38.93232624,139.9767677
,,蔵王カントリークラブ,38.17580014,140.314156
,,さくらんぼカントリークラブ,38.51877717,140.3647727
,,庄内ゴルフ倶楽部,38.76788998,139.9690188
,,新庄アーデンゴルフ倶楽部,38.7659833,140.2551182
,,天童カントリークラブ,38.38813789,140.4399382
,,ニューブラッサムガーデンクラブ,38.43757043,140.2727718
,,最上川グリーンパークゴルフ場,38.42247895,140.3271837
,,山形南カントリークラブ,38.00985544,140.0226946
,,湯の浜カントリークラブ,38.78055413,139.7659018
,,NDソフトスタジアム山形,38.33578883,140.3784433
,福島,JGMサラブレッドゴルフクラブ,36.97701455,140.7821693
,,会津高原たかつえカントリークラブ,37.11547616,139.6019272
,,会津磐梯カントリークラブ,37.5257231,139.9969525
,,安達太良カントリークラブ,37.57609901,140.3605305
,,五浦庭園カントリークラブ,36.87506106,140.7593965
,,宇津峰カントリークラブ,37.2998874,140.4480009
,,大玉カントリークラブ,37.5406302,140.3201925
,,小名浜オーシャンホテル＆ゴルフクラブ,36.91799359,140.8447615
,,小名浜カントリー倶楽部,36.97407987,140.940293
,,鹿島カントリー倶楽部,37.67800268,140.9474725
,,北郡山カントリークラブ,37.50252824,140.4063387
,,グランディ那須白河ゴルフクラブ,37.14764698,140.1646206
,,グリーンアカデミーカントリークラブ,37.1017287,140.2682143
,,郡山熱海カントリークラブ,37.51888349,140.2960285
,,郡山ゴルフ倶楽部,37.37769351,140.2753217
,,白河高原カントリークラブ,37.17221627,140.0355323
,,白河国際カントリークラブ,37.0958403,140.3847382
,,白河ゴルフ倶楽部,37.216212,140.1559252
,,白河メドウゴルフ倶楽部,37.2534086,140.050138
,,スパリゾートハワイアンズゴルフコース,36.99044522,140.8016537
,,太平洋クラブ白河リゾート,37.2470505,140.0350052
,,棚倉田舎倶楽部,37.03977427,140.405127
,,東都郡山カントリー倶楽部,37.33287837,140.2782302
,,猪苗代ゴルフクラブ,37.61125973,140.1974854
,,パーシモンカントリークラブ,37.76508458,140.6009458
,,バイロンネルソンカントリークラブ,36.9888177,140.7767462
,,福島ゴルフ倶楽部　民報コース,37.71046121,140.4786801
,,ヘレナ国際カントリー倶楽部,36.9504175,140.8075461
,,星野リゾート　メローウッドゴルフクラブ,37.5804014,140.0276799
,,ボナリ高原ゴルフクラブ,37.62341902,140.2246058
関東,茨城（坂東・八千代・取手・つくば）,南筑波ゴルフ場,36.07706971,140.0530257
,,常総カントリー倶楽部,35.98951798,139.9193086
,,坂東ゴルフクラブ,36.0760282,139.9101981
,,JGM笠間ゴルフクラブ,36.33836891,140.1635142
,,猿島カントリー倶楽部,36.1199318,139.860603
,,ザ・インペリアルカントリークラブ,35.99237832,140.3301642
,,アジア取手カントリー倶楽部,35.9087856,140.0314883
