エリア分類,エリア小分類,ゴルフコース名,緯度,経度
,,川奈ホテルゴルフコース　大島コース,34.9317576,139.1408638
,,熱海ゴルフ倶楽部,35.1108062,139.0728173
,,フジ天城ゴルフ倶楽部,34.9476387,138.913231
,,湯ヶ島ゴルフ倶楽部＆ホテルリゾート,34.88108647,138.8883495
,,伊豆国際カントリークラブ,34.97722101,138.8928934
,,ラフォーレ修善寺＆カントリークラブ,34.9580985,138.9160557
,,静岡カントリー浜岡コース＆ホテル,34.65481545,138.0954924
,,グランディ浜名湖ゴルフクラブ,34.72268751,137.6040542
,,掛川カントリークラブ,34.7256719,138.0355514
,,浜名湖カントリークラブ,34.6907136,137.5228069
,,レイク浜松カントリークラブ,34.8832264,137.6725166
,,ホロンゴルフ倶楽部,34.79226465,138.1181848
,,ザ・フォレストカントリークラブ,34.848224,137.907057
,,菊川カントリークラブ,34.7806476,138.1023151
,新潟（新発田・蒲原・胎内）,新潟サンライズゴルフコース,37.9874028,139.237866
,,新発田城カントリー倶楽部,37.90120906,139.3469759
,,中峰ゴルフ倶楽部,37.87971955,139.2987517
,,胎内高原ゴルフ倶楽部,38.0293232,139.5088666
,,イーストヒルゴルフクラブ,37.77559595,139.2646647
,,村上市営あらかわゴルフ場,38.13541153,139.4473191
,,紫雲ゴルフ倶楽部,38.0157459,139.2983672
,,日本海カントリークラブ,38.11266333,139.387269
,,笹神五頭ゴルフ倶楽部,37.81961366,139.2732293
,新潟（妙高・長岡・三条・佐渡島）,松ヶ峯カントリー倶楽部,36.96201184,138.2094843
,,ベルナティオゴルフコース,37.04720034,138.7400438
,,妙高高原ゴルフ倶楽部,36.86502122,138.1876861
,,越後ゴルフ倶楽部,37.27417798,138.9490273
,,大新潟カントリークラブ　出雲崎コース,37.56158,138.7219407
,,糸魚川カントリークラブ,37.0178143,137.8765646
,,赤倉ゴルフコース,36.88418679,138.1740241
,,妙高カントリークラブ,36.91274951,138.1766331
,,長岡カントリー倶楽部,37.4197088,138.7614908
北陸,富山,魚津国際カントリークラブ,36.8220367,137.4630883
,,大山カメリアカントリークラブ,36.5869089,137.2529771
,,小杉カントリークラブ,36.6733193,137.0867734
,,ゴルフ倶楽部ゴールドウイン,36.60610827,136.8743892
,,千羽平ゴルフクラブ,36.6150735,136.8750001
,,太閤山カントリークラブ,36.6823452,137.0999167
,,高岡カントリー倶楽部,36.6728969,137.0513523
,,棚山ゴルフ倶楽部,36.8857229,137.5745162
,,トナミロイヤルゴルフ倶楽部,36.52069377,136.9371259
,,富山カントリークラブ,36.587579,137.240685
,,花尾カントリークラブ,36.75034832,136.8984303
,,氷見カントリークラブ,36.9080211,136.9952031
,,八尾カントリークラブ,36.5790581,137.1678404
,石川,石川ゴルフ倶楽部,36.64622183,136.7546689
,,加賀カントリークラブ,36.2873201,136.3348775
,,加賀セントラルゴルフ倶楽部,36.2804664,136.3019969
,,片山津ゴルフ倶楽部 ＷＥＳＴ（いぬわし・あすなろコース）,36.28222946,136.2668774
,,片山津ゴルフ倶楽部 白山コース,36.3736131,136.3751828
,,金沢カントリー倶楽部,36.72777414,136.7371935
,,金沢セントラルカントリー倶楽部,36.55891057,136.7138626
,,小松カントリークラブ,36.35301955,136.4645482
,,小松ゴルフ倶楽部,36.2997189,136.4287557
,,ゴルフ倶楽部金沢リンクス,36.63443494,136.6177848
,,ゴルフクラブツインフィールズ,36.41279143,136.5367995
,,ザ・カントリークラブ・能登,37.2542682,136.925547
,,金沢東ゴルフクラブ,36.6081902,136.7849737
,,金沢ゴルフクラブ,36.51533088,136.7348704
,,チェリーゴルフグループ　和倉ゴルフ倶楽部,37.05763196,136.9157126
,,朱鷺の台カントリークラブ,36.93885312,136.7878579
,,那谷寺カントリー倶楽部,36.32044598,136.4192474
,,能登カントリークラブ,36.81583601,136.7482433
,,能登ゴルフ倶楽部,37.0307731,136.7695449
,,能登島ゴルフアンドカントリークラブ,37.1229646,136.9528166
,,北陸グリーンヒルゴルフクラブ,36.74511409,136.7514115
,,山代ゴルフ倶楽部,36.2747674,136.3808741
,福井,芦原ゴルフクラブ,36.2855731,136.2370934
,,越前カントリークラブ,36.26485351,136.2756447
,,越前武生カントリークラブ,35.88298439,136.0831805
,,ゴールド福井カントリークラブ,36.03303966,136.1271072
,,ジャパンセントラルゴルフ倶楽部,36.2100982,136.2774767
,,杉ノ木台ゴルフクラブ,35.99386425,136.1844283
,,敦賀国際ゴルフ倶楽部,35.6067954,136.0606036
,,フォーレスト福井ゴルフクラブ,36.119098,136.125741
,,フクイカントリークラブ,36.12638292,136.3026824
,,福井国際カントリークラブ,36.23697496,136.2485768
,,わかさカントリー倶楽部,35.46735291,135.8920555
中部,岐阜（中津川・恵那・瑞浪・可児・加茂）,明智ゴルフ倶楽部　賑済寺ゴルフ場,35.48794124,137.0474763
,,中部国際ゴルフクラブ,35.38855189,137.120179
,,富士カントリー可児クラブ　美濃ゴルフ場,35.3925805,137.1348607
,,東建塩河カントリー倶楽部,35.3684602,137.0443789
,,日本ラインゴルフ倶楽部,35.39490197,137.0284184
,,富士カントリー可児クラブ可児ゴルフ場,35.39298107,137.1494602
,,ゴルフ５カントリーみずなみコース,35.39439647,137.3322355
,,レイクグリーンゴルフ倶楽部,35.39736761,137.1768791
,,ユーグリーン中津川ゴルフ倶楽部,35.45354322,137.4744037
,岐阜（岐阜市・関・大垣・飛騨・高山・下呂）,岐阜北カントリー倶楽部,35.5296898,136.6865341
,,シーダーヒルズカントリークラブ,35.53734658,136.9600759
,,養老カントリークラブ,35.2525806,136.4447355
,,岐阜稲口ゴルフ倶楽部,35.45804295,136.9153864
,,グリーンヒル関ゴルフ倶楽部,35.45475545,136.9329537
,,三甲ゴルフ倶楽部　谷汲コース,35.5371458,136.6169049
,,岐阜セントフィールドカントリー倶楽部,35.51922852,136.9945995
,,やまがたゴルフ倶楽部　美山コース,35.57796912,136.746907
,,飛騨高山カントリークラブ,36.1017003,137.2458699
,静岡（静岡市・富士宮・清水）,裾野カンツリー倶楽部,35.22543537,138.8697471
,,リバー富士カントリークラブ,35.1820996,138.5720193
,,朝霧カントリークラブ,35.4081439,138.6023845
,,大富士ゴルフクラブ,35.2116697,138.7183409
,,富士宮ゴルフクラブ,35.2068249,138.6009001
,,朝霧ジャンボリーゴルフクラブ,35.38008439,138.5796872
,,富士チサンカントリークラブ,35.2355968,138.5779655
,,十里木カントリークラブ,35.2621603,138.7788873
,,Ｇ８富士カントリークラブ,35.3303372,138.6323536
,,IAIスタジアム日本平,34.98457786,138.4813646
,静岡（御殿場・熱海・沼津・三島）,東名カントリークラブ,35.1847377,138.8769554
,,愛鷹シックスハンドレッドクラブ,35.16324375,138.8203065
,,三島ゴルフ倶楽部,35.1889989,138.8599341
,,PGM御殿場カントリークラブ,35.31145646,138.9735761
,,富士ヘルスカントリークラブ,35.3790223,138.9563536
,,凾南ゴルフ倶楽部,35.1404118,139.0009289
,静岡（伊豆・伊東）,川奈ホテルゴルフコース　富士コース,34.94081494,139.1429017
,,伊豆大仁カントリークラブ,35.0282096,139.0268866
,,伊豆にらやまカントリークラブ,35.0523549,139.003418
,,川奈ホテルゴルフコース　大島コース,34.9317576,139.1408638
,,熱海ゴルフ倶楽部,35.1108062,139.0728173
,,フジ天城ゴルフ倶楽部,34.9476387,138.913231
,,湯ヶ島ゴルフ倶楽部＆ホテルリゾート,34.88108647,138.8883495
,,伊豆国際カントリークラブ,34.97722101,138.8928934
,,ラフォーレ修善寺＆カントリークラブ,34.9580985,138.9160557
,静岡（浜松・掛川）,ヤマハリゾート 葛城ゴルフ倶楽部,34.80804002,137.9290126
,,静岡カントリー浜岡コース＆ホテル,34.65481545,138.0954924
,,グランディ浜名湖ゴルフクラブ,34.72268751,137.6040542
,,掛川カントリークラブ,34.7256719,138.0355514
,,浜名湖カントリークラブ,34.6907136,137.5228069
,,レイク浜松カントリークラブ,34.8832264,137.6725166
,,ホロンゴルフ倶楽部,34.79226465,138.1181848
,,ザ・フォレストカントリークラブ,34.848224,137.907057
,,菊川カントリークラブ,34.7806476,138.1023151
,愛知（名古屋・春日井・瀬戸・知多）,ウッドフレンズ森林公園ゴルフ場,35.2415874,137.0503452
,,春日井カントリークラブ,35.3263314,137.03424
,,知多カントリー倶楽部,34.81695855,136.893571
,,オールドレイクゴルフ倶楽部,35.32454262,137.0477378
,,鳴海カントリークラブ,35.0837478,137.0011787
,,名南カントリークラブ,34.98682323,136.9206321
,,定光寺カントリークラブ,35.2915764,137.1054327
,,ウッドフレンズ名古屋港ゴルフ倶楽部,35.02445481,136.7784452
,,庄内川ゴルフ倶楽部,35.21699401,136.9044008
,愛知（岡崎・豊田・豊川・新城・西尾）,伊良湖シーサイドゴルフ倶楽部,34.58991343,137.0284329
,,豊田カントリー倶楽部,35.0946193,137.210267
,,額田ゴルフ倶楽部,34.9636248,137.315923
,,稲武カントリークラブ,35.24071379,137.524731
,,吉良カントリークラブ,34.79946553,137.0926576
,,つくでゴルフクラブ,34.9823148,137.4396099
,,ゴルフ倶楽部大樹　豊田コース,35.1339928,137.2694801
,,新城カントリー倶楽部,34.8589065,137.490492
,,みとゴルフ倶楽部,34.83568964,137.2834984
,,豊田スタジアム,35.08475715,137.170928
,三重（津・松坂・伊勢・志摩）,みすぎ高原ゴルフ倶楽部,34.54082809,136.2876928
,,霞ゴルフクラブ,34.82023074,136.4375655
,,伊勢中川カントリークラブ,34.64088928,136.3794894
,,西日本セブンスリーゴルフクラブ,34.63010992,136.4308348
,,フォレスト芸濃ゴルフクラブ,34.84272823,136.4232412
,,近鉄賢島カンツリークラブ,34.3213605,136.8109006
,,伊勢カントリークラブ,34.5133088,136.6140829
,,ココパリゾートクラブ三重白山ゴルフコース,34.63341849,136.3414913
,三重（伊賀・名張・鈴鹿・四日市）,双鈴ゴルフクラブ　関コース,34.83208808,136.3269414
,,伊賀ゴルフコース,34.65681545,136.1547805
,,名阪チサンカントリークラブ,34.8273817,136.1907286
,,名張サウスカントリー倶楽部,34.58964749,136.1602671
,,名張カントリークラブ,34.6356408,136.1390862
,,三鈴カントリー倶楽部,34.94111307,136.4608814
,,メナードカントリークラブ青山コース,34.5869873,136.2507405
,,名四カントリークラブ,35.0090473,136.5917866
,,中日カントリークラブ,34.90758151,136.4563577
,,グリーンハイランドカントリー倶楽部,34.6425758,136.0723151
近畿,滋賀（大津・甲賀・守山）,瀬田ゴルフコース,34.95609499,135.9237491
,,琵琶湖レークサイドゴルフコース,35.0973348,135.9427935
,,センチュリー・シガ・ゴルフクラブ,34.903273,136.1861114
,,ROSE GOLF CLUB,34.89271825,136.050164
,,皇子山カントリークラブ,35.02204359,135.8410255
,,朝宮ゴルフコース,34.8478614,135.9998851
,,双鈴ゴルフクラブ　土山コース,34.918342,136.2966935
,,大甲賀カントリークラブ　神コース,34.9023513,136.2521045
,,滋賀甲南カントリークラブ,34.9151133,136.1960731
,滋賀（彦根・東近江・竜王）,近江カントリー倶楽部,35.035344,136.0739253
,,蒲生ゴルフ倶楽部,34.99880314,136.1989168
,,名神八日市カントリー倶楽部,35.07661591,136.2101337
,,日野ゴルフ倶楽部,35.0523788,136.2709069
,,滋賀ゴルフ倶楽部,34.9456879,136.193732
,,名神竜王カントリー倶楽部,35.0298468,136.1648576
,,竜王ゴルフコース,35.0393028,136.0895806
,,近江ヒルズゴルフ倶楽部,34.9947558,136.2754532
,,彦根カントリー倶楽部,35.2692646,136.2749062
,京都（宇治・宇治田原・木津川）,宇治カントリークラブ,34.9191656,135.8174323
,,宇治田原カントリー倶楽部,34.8733761,135.911954
,,加茂カントリークラブ,34.74008617,135.9042938
,,協和ゴルフクラブ,34.8500062,135.9655888
,,月ヶ瀬カントリークラブ,34.7169217,136.0240782
,,東城陽ゴルフ倶楽部,34.85967405,135.8039877
,,かさぎゴルフ倶楽部,34.7509362,135.9533384
,,レイクフォレストリゾート　センチュリーコース,34.742137,135.9789602
,,レイクフォレストリゾート　バードスプリングコース,34.75013478,135.9872786
,京都（亀岡・丹波・舞鶴）,京都大原パブリックコース,35.134396,135.8400829
,,京都ゴルフ倶楽部　舟山コース,35.0635675,135.7348768
,,クラウンヒルズ京都ゴルフ倶楽部,35.1607037,135.4896147
,,るり溪ゴルフクラブ,35.03632413,135.3883356
,,瑞穂ゴルフ倶楽部,35.1622971,135.3728992
,,福知山カントリー倶楽部,35.29217114,135.0495628
,,宮津カントリークラブ,35.62457741,135.2259403
,,久美浜カンツリークラブ,35.6242433,134.8899362
,,亀岡カントリークラブ,34.9853422,135.5625204
,,亀岡ゴルフクラブ,34.9564895,135.4927223
,,加舎の里カントリー,35.00773443,135.4619534
,,関西カントリークラブ,34.95536819,135.5144334
,,グランベール京都ゴルフ倶楽部,35.1772165,135.4578823
,,太閤坦カントリークラブ,35.1640831,135.4485482
,,舞鶴カントリークラブ,35.52552971,135.4493478
,,れいせんゴルフ倶楽部,34.98546179,135.5142657
,大阪（泉南・堺・泉佐野・阪南）,関空クラシックゴルフ倶楽部,34.35132851,135.2900004
,,泉南カンツリークラブ,34.36896429,135.3098399
,,太子カントリー倶楽部,34.50368208,135.6531857
,,岸和田カントリー倶楽部,34.39902019,135.4442655
,,堺カントリークラブ,34.459152,135.5385168
,,みさきカントリークラブ,34.3079522,135.1407973
,,泉佐野カントリークラブ,34.35619095,135.3471212
,,大阪ゴルフクラブ,34.327579,135.1548781
,,関西空港ゴルフ倶楽部,34.40175874,135.4686118
,大阪（茨木・池田・枚方・高槻）,茨木国際ゴルフ倶楽部,34.8516686,135.5345102
,,新大阪ゴルフクラブ,34.8913416,135.6458022
,,枚方国際ゴルフ倶楽部,34.80565518,135.716406
,,くずはゴルフリンクス,34.86320471,135.6757657
,,京阪ゴルフ倶楽部,34.7884397,135.6063409
,,高槻ゴルフ倶楽部,34.8150994,135.6251915
,,茨木高原カンツリー倶楽部,34.8917024,135.5025429
,,PGM池田カントリークラブ,34.84482425,135.4491054
,兵庫（六甲・宝塚・三田・西宮・神戸・淡路）,大神戸ゴルフ倶楽部,34.7139596,135.0601239
,,宝塚けやきヒルカントリークラブ,34.84794442,135.3799201
,,六甲国際パブリックコース,34.75774488,135.1027825
,,有馬ロイヤルゴルフクラブ,34.83204288,135.1291792
,,有馬カンツリー倶楽部,34.9041421,135.1735078
,,三田レークサイドカントリークラブ,34.9473181,135.1114357
,,神戸パインウッズゴルフクラブ,34.8782227,135.1656865
,,よみうりゴルフウエストコース,34.845744,135.2824773
,,愛宕原ゴルフ倶楽部,34.8386037,135.3915247
,兵庫（豊岡・朝来・丹波・篠山）,山東カントリークラブ,35.214431,140.0823701
,,篠山ゴルフ倶楽部,35.12186641,135.3756559
,,オータニにしきカントリークラブ,35.17238435,135.2631859
,,湯村カンツリークラブ,35.50485821,134.5112258
,,城崎カンツリークラブ,35.6578972,134.8086902
,,鳳鳴カントリークラブ,35.09484268,135.3831937
,,ベル・グリーンカントリークラブ,35.09131921,135.3542129
,,大岡ゴルフ倶楽部,35.5116392,134.713969
,,神鍋高原カントリークラブ,35.5141714,134.6756529
,,オータニ広尾カントリークラブ,35.0941082,135.3929456
,佐用・相生・赤穂・市川・姫路,赤穂カンツリークラブ,34.84554162,134.3256411
,,相生カントリー倶楽部,34.82592712,134.4904351
,,姫路シーサイドゴルフコース,34.7671785,134.7570149
,,佐用スターリゾートゴルフ倶楽部,35.0140681,134.4009495
,,龍野クラシックゴルフ倶楽部,34.88025575,134.5886306
,,JOYXゴルフ倶楽部 上月コース,34.9575836,134.2969781
,,G-styleカントリー倶楽部,34.99804367,134.3343333
,,ストークヒルゴルフクラブ,34.9346747,134.4360781
,,三日月カントリークラブ,35.0015413,134.4455297
,兵庫（三木・吉川・東条・小野・加古川・加西）,東条ゴルフ倶楽部,34.88291758,135.0506278
,,ライオンズカントリー倶楽部,34.92608365,135.1428624
,,東条の森カントリークラブ大蔵コース,34.8666214,135.0450826
,,東条パインバレーゴルフクラブ,34.89975173,135.0377739
,,パインレークゴルフクラブ,34.99113527,135.0298618
,,アークよかわゴルフ倶楽部,34.87066098,135.1178893
,,小野グランドカントリークラブ,34.8653416,135.0225311
,,東条の森カントリークラブ東条コース・大蔵コース,34.86590153,135.0437388
,,福崎東洋ゴルフ倶楽部,34.9606416,134.7298525
,,三木よかわカントリークラブ,34.84829856,135.0862427
,奈良（宇陀・吉野・五條）,阿騎野ゴルフ倶楽部,34.4539316,135.9419174
,,グランデージゴルフ倶楽部,34.4083373,135.9200996
,,奈良カントリークラブ,34.3711788,135.7030859
,,宇陀カントリークラブ,34.4902651,135.9463658
,,奈良ロイヤルゴルフクラブ,34.4159138,135.7681485
,,花吉野カンツリー倶楽部,34.3990042,135.763423
,,シプレカントリークラブ,34.3585369,135.6725658
,,プレディアゴルフ,34.32174,135.6872918
,,ムロウ３６ゴルフクラブ室生コース,34.5930802,136.0179552
,奈良（奈良市・天理・山辺）,大和高原カントリークラブ,34.7214849,135.9713596
,,奈良の杜ゴルフクラブ,34.701025,135.913495
,,ＫＯＭＡカントリークラブ,34.734364,136.0495988
,,ヤマトカントリークラブ,34.63008731,135.906859
,,新奈良ゴルフ倶楽部,34.69635031,135.8948429
,,木津川カントリー倶楽部,34.7392062,135.9325691
,,天理ゴルフ倶楽部,34.58955556,135.9139073
,,奈良若草カントリー倶楽部,34.6481398,135.9750591
,,奈良万葉カンツリー倶楽部,34.64910722,135.8563203
,和歌山（日高・牟婁・那智）,紀南カントリークラブ,33.85215819,135.2105556
,,ラ・グレースゴルフ倶楽部 和歌山コース,33.8600588,135.2768205
,,レオグラードゴルフクラブ,33.935974,135.2996244
,,いなみカントリークラブ　フジ,33.82996579,135.2335886
,,那智勝浦ゴルフ倶楽部,33.90272175,135.9408108
,,サンリゾートカントリークラブ,34.1483542,135.3389455
,,白浜ゴルフ倶楽部,33.6687336,135.3424562
,,南紀白浜ゴルフ倶楽部,33.69126547,135.4078782
,,国木原ゴルフ倶楽部,34.19114793,135.3433965
,和歌山（和歌山市・紀の川・有田）,有田東急ゴルフクラブ,34.11107172,135.2349782
,,橋本カントリークラブ,34.3400317,135.6274767
,,貴志川ゴルフ倶楽部,34.23440099,135.3052949
,,小倉カントリー倶楽部,34.2405454,135.2996654
,,船戸山ゴルフクラブ,34.24105593,135.3148992
,,和歌山カントリー倶楽部,34.2672159,135.136367
,,紀伊高原ゴルフクラブ,34.2448413,135.5271202
,,海南高原カントリークラブ,34.12137652,135.2524485
,,紀の国カントリー倶楽部,34.20087981,135.3467741
中国,鳥取,旭国際浜村温泉ゴルフ倶楽部,35.4965227,134.0930973
,,神田ゴルフクラブ,35.45563049,133.546876
,,グリーンパーク大山ゴルフ倶楽部,35.3627733,133.3971024
,,大山アークカントリークラブ,35.3297358,133.4245129
,,大山ゴルフクラブ,35.3797873,133.4960446
,,大山平原ゴルフクラブ,35.39570009,133.4717444
,,鳥取カントリー倶楽部吉岡温泉コース,35.46955888,134.097715
,,鳥取ゴルフ倶楽部,35.530156,134.2339353
,,米子ゴルフ場,35.4614092,133.3279286
,島根,出雲空港カントリー倶楽部,35.38491887,132.8644086
,,出雲ゴルフ倶楽部,35.3739757,132.7784723
,,いづも大社カントリークラブ,35.29725059,132.6586602
,,金城カントリークラブ,34.87927747,132.2118846
,,島根ゴルフ倶楽部　宍道湖コース,35.46283863,132.8937798
,,玉造温泉カントリークラブ,35.40176232,132.9492402
,,浜田ゴルフリンクス,34.93881675,132.1378741
,岡山,赤坂カントリークラブ,34.8425404,133.9988693
,,赤坂レイクサイドカントリークラブ,34.81132022,134.0309132
,,井原ゴルフ倶楽部,34.62244132,133.5169112
,,岡山霞橋ゴルフ倶楽部,34.55640936,133.7041371
,,岡山カントリークラブ　桃の郷コース,34.716737,133.8931843
,,岡山北ゴルフ倶楽部,34.7546915,133.9176843
,,岡山金陵カントリークラブ,34.7792831,133.8566174
,,岡山空港ゴルフコース,34.7634738,133.8794236
,,岡山国際ゴルフ倶楽部,34.71277319,133.7720142
,,岡山ゴルフ倶楽部　帯江コース,34.60984508,133.8018149
,,岡山西ゴルフ倶楽部,34.56276582,133.5028343
,,岡山御津カントリークラブ,34.8224312,133.9833017
,,奥津ゴルフ倶楽部,35.211304,133.9377587
,,長船カントリークラブ,34.7041951,134.0862021
,,笠岡カントリー倶楽部,34.57861745,133.5554167
,,鬼ノ城ゴルフ倶楽部,34.725377,133.7870573
,,吉備カントリークラブ,34.6568676,133.6471251
,,吉備高原カントリークラブ,34.78517092,133.6843961
,,久米カントリークラブ,35.03894416,133.9212643
,,倉敷カントリー倶楽部,34.64407014,133.8001815
,,グレート岡山ゴルフ倶楽部,34.8455206,133.9170993
,,後楽ゴルフ倶楽部,34.79408689,133.810777
,,ザ・オークレットゴルフクラブ,34.9727399,134.0947958
,,作州武蔵カントリー倶楽部,35.0579178,134.2028359
,,山陽ゴルフ倶楽部,34.8683374,134.036003
,,ＪＦＥ瀬戸内海ゴルフ倶楽部,34.4773112,133.4687133
,,新岡山ゴルフクラブ,34.73185233,133.8500403
,,瀬戸大橋カントリークラブ,34.4768149,133.8913351
,,たけべの森ゴルフ倶楽部,34.8318281,133.8902716
,,玉野ゴルフ倶楽部,34.4993013,133.9231234
,広島,安芸カントリークラブ,34.4231687,132.8672378
,,太田川ゴルフ場,34.4430553,132.4874262
,,尾道うずしおカントリークラブ,34.46862165,133.2055465
,,尾道カントリークラブ　宇根山コース,34.55507317,133.078812
,,尾道ゴルフ倶楽部,34.52412877,133.0639694
,,カントリーパーク仙養,34.74210747,133.3112712
,,京覧カントリークラブ,34.41187908,133.0327563
,,久井カントリークラブ,34.50239898,133.0519015
,,グリーンバーズゴルフ倶楽部,34.51713593,132.9657515
,,呉カントリークラブ,35.6144614,139.3087429
,,芸南カントリークラブ,34.4069075,132.2806583
,,郷原カントリークラブ,35.171686,140.0530576
,,庄原カントリークラブ,34.82327202,133.0138422
,,新市クラシックゴルフクラブ,34.563172,133.28276
,,瀬戸内ゴルフリゾート,34.3074297,132.8639045
,,鷹の巣ゴルフクラブ,34.37011105,132.2039624
,,竹原カントリークラブ,34.38330632,132.9202545
,,広島吉和の森ゴルフ倶楽部,34.43999501,132.1019169
,,千代田ゴルフ倶楽部,34.69616147,132.484551
,,戸山カンツリークラブ,34.49290544,132.3555432
,,白竜湖カントリークラブ,34.49229329,132.9148412
,,東広島カントリークラブ,34.48131369,132.660672
,,広島安佐ゴルフクラブ,34.48878625,132.4648247
,,広島紅葉カントリークラブ,34.32222918,132.1851074
,,広島国際ゴルフ倶楽部,34.3227938,132.7058268
,,広島ゴルフ倶楽部　鈴が峰コース,34.38409108,132.3747003
,,広島佐伯カントリー倶楽部,34.35337079,132.206955
,,広島西カントリー倶楽部,34.3162506,132.1743151
,,福山カントリークラブ,36.587579,137.240685
,山口,アイランドゴルフガーデン宇部,34.12587028,131.3311565
,,厚狭ゴルフ倶楽部,34.0346493,131.1236156
,,岩国センチュリーゴルフクラブ,34.06641802,132.1785659
,,宇部７２カントリークラブ　江畑池コース,34.0281042,131.3119859
,,宇部７２カントリークラブ　阿知須コース,34.0247698,131.3274747
,,宇部７２カントリークラブ　万年池西コース,34.0131004,131.3021491
,,宇部７２カントリークラブ　万年池東コース,34.0128775,131.3162143
,,山陽グリーンゴルフコース,34.0364609,131.1324997
,,山陽国際ゴルフクラブ,34.0543289,131.108325
,,下関ゴールデンゴルフクラブ,34.11149378,131.0926928
,,周南カントリー倶楽部,34.04444634,131.9659863
,,セントラルパークゴルフ倶楽部,34.14890028,131.1087374
,,朝陽カントリークラブ,34.043421,131.1823308
,,徳山国際カントリー倶楽部,34.1125797,131.7609853
,,中須ゴルフ倶楽部,34.0986934,131.9139288
,,萩・石見カントリー倶楽部,34.64299173,131.6685322
,,ブルーラインカントリー倶楽部,34.38090461,131.1261529
,,プレジデントカントリー倶楽部山陽,34.07110792,131.1396574
,,美和ゴルフクラブ,34.2140757,132.0755652
,,毛利庭園ゴルフ倶楽部,34.06423453,131.5883878
,,柳井カントリー倶楽部,34.01214571,132.1397484
,,山口レインボーヒルズ 関門菊川ゴルフクラブ,34.11679001,131.0715088
,,豊田湖ゴルフクラブ,34.25424627,131.1277156
,,泉水原ゴルフクラブ,34.17994647,131.5834217
,,湯田カントリー倶楽部,34.17477922,131.4421317
,,ユニマット山口ゴルフ倶楽部,34.11377212,131.9447361
,,レークスワンカントリー倶楽部,34.18591757,131.1053604
,,和木ゴルフ倶楽部,34.18907362,132.2226321
四国,徳島,阿南カントリークラブ,33.8804121,134.6386733
,,グランディ鳴門ゴルフクラブ３６,34.196312,134.4671978
,,コート・ベール徳島ゴルフクラブ,33.95391224,134.6826362
,,御所カントリークラブ,34.13446487,134.3809798
,,サンピアゴルフクラブ,34.0304308,134.4537493
,,Ｊクラシックゴルフクラブ,34.11561724,134.3156123
,,四国カントリークラブ,34.03965342,134.1819111
,,タカガワ西徳島ゴルフ倶楽部,34.08872835,134.1933998
,,タカガワ東徳島ゴルフ倶楽部,34.0426853,134.4175568
,,徳島カントリー倶楽部　月の宮コース,34.05084695,134.4437064
,,徳島ゴルフ倶楽部,34.0917993,134.539192
,,鳴門カントリークラブ,34.234332,134.5774288
,,眉山カントリークラブ,34.0523217,134.5005763
,,レオマ高原ゴルフ倶楽部,33.98796574,133.7624944
,香川,鮎滝カントリークラブ,34.207031,134.0468751
,,アルファ津田カントリークラブ,34.28608765,134.2295878
,,エリエールゴルフクラブ,34.10141921,133.7544405
,,琴平カントリー倶楽部,34.13613979,133.7367648
,,坂出カントリークラブ,34.2913929,133.9068403
,,チェリーゴルフ讃岐コース,34.3216905,134.2519315
,,サンライズヒルズカントリークラブ,34.1566757,133.9495804
,,志度カントリークラブ,34.34108427,134.2499145
,,小豆島シーサイドゴルフクラブ,34.52607557,134.3475588
,,タカガワ新琴南ゴルフ倶楽部,34.1544051,133.9261763
,,高松カントリー倶楽部,34.2956055,133.8931444
,,高松グランドカントリークラブ,34.2305296,134.1327528
,,高松ゴールドカントリー倶楽部,34.1902054,133.9879074
,,満濃ヒルズカントリークラブ,34.1817949,133.9164797
,,屋島カントリークラブ,34.31749086,134.1302737
,,ロイヤル高松カントリークラブ,34.2173284,133.9957857
,愛媛,今治カントリー倶楽部,33.9669369,133.0299114
,,伊予カントリークラブ,33.7279491,132.7000329
,,宇和島カントリー倶楽部,33.3051712,132.58058
,,エリエールゴルフクラブ松山,33.92191603,132.8146244
,,大洲ゴルフ倶楽部,33.47694977,132.5449335
,,奥道後ゴルフクラブ,33.95856673,132.7979174
,,久万カントリークラブ,33.68756349,132.886895
,,西条ゴルフ倶楽部,33.88956494,133.1860546
,,タカガワ新伊予ゴルフ倶楽部,33.97108628,133.4002084
,,高原ゴルフ倶楽部,33.66942607,132.9444074
,,滝の宮カントリークラブ,33.9386419,133.2627661
,,チサンカントリークラブ北条,33.99390727,132.828568
,,道後ゴルフ倶楽部,33.87567308,132.7864912
,,新居浜カントリー倶楽部,33.9347403,133.3536349
,,北条カントリー倶楽部,33.96661601,132.8245199
,,松山国際ゴルフ倶楽部,33.76119884,132.8622494
,,松山ゴルフ倶楽部,33.80379891,132.9298579
,,松山ロイヤルゴルフ倶楽部,33.69278468,132.7689006
,高知,高知ゴルフ倶楽部,33.6019927,133.5624116
,,グリーンフィールゴルフ倶楽部,33.5417451,133.3295802
,,四万十カントリークラブ,32.9468316,132.9668642
,,スカイヒルゴルフクラブ,33.20803619,133.1734846
,,スカイベイゴルフクラブ,33.41305711,133.3944103
,,土佐カントリークラブ,33.5273632,133.7768957
,,土佐山田ゴルフ倶楽部,33.6244327,133.6906528
,,土佐ユートピアカントリークラブ,33.0481746,133.0359012
,,錦山カントリークラブ,33.5461524,133.3663297
,,パシフィックゴルフクラブ,33.625779,133.6516896
